param,Vmin0,Vmax0,Vmin(LAImax),Vmax(LAImax)
n,1.2,2.2,1.27,1.93
cab,20.0,80.0,36.67,80.0
cbrown,0.0,1.0,0.0,1.0
cw,0.0,0.07,0.0,0.07
cm,0.0,0.01,0.0,0.01
lidfa,30.0,70.0,46.67,66.67
hspot,0.1,0.5,0.1,0.5
